transaction_id,account_id,txn_type,amount,currency,channel,merchant_category,txn_timestamp
TXN-0000000026,ACC-000000057,DEBIT,1740.72,EUR,MOBILE,,2026-04-06T19:27:00
TXN-0000000027,ACC-000000036,DEBIT,119.43,EUR,BRANCH,,2026-01-15T20:25:00
TXN-0000000028,ACC-000000047,DEBIT,324.17,EUR,BRANCH,,2026-06-28T04:54:00
TXN-0000000029,ACC-000000078,DEBIT,256.83,EUR,ONLINE,5812,2026-01-21T11:23:00
TXN-0000000030,ACC-000000050,CREDIT,809.52,EUR,MOBILE,,2026-03-12T11:23:00
TXN-0000000031,ACC-000000057,CREDIT,2670.83,EUR,ONLINE,5732,2026-04-16T20:17:00
TXN-0000000032,ACC-000000032,CREDIT,970.94,EUR,MOBILE,,2026-02-23T12:58:00
TXN-0000000033,ACC-000000072,DEBIT,1409.56,EUR,BRANCH,,2026-05-12T19:18:00
TXN-0000000034,ACC-000000089,CREDIT,657.06,EUR,ONLINE,5411,2026-03-12T05:57:00
TXN-0000000035,ACC-000000092,DEBIT,1365.45,USD,MOBILE,,2026-04-15T21:22:00
TXN-0000000036,ACC-000000091,DEBIT,1783.21,USD,ONLINE,5812,2026-01-07T20:11:00
TXN-0000000037,ACC-000000047,DEBIT,405.96,EUR,MOBILE,,2026-05-31T07:50:00
TXN-0000000038,ACC-000000064,DEBIT,740.98,EUR,ONLINE,6011,2026-06-02T19:56:00
TXN-0000000039,ACC-000000012,DEBIT,1435.28,EUR,MOBILE,,2026-03-05T16:26:00
TXN-0000000040,ACC-000000099,DEBIT,255.03,EUR,ONLINE,5541,2026-01-22T02:28:00
TXN-0000000041,ACC-000000060,DEBIT,1756.53,EUR,MOBILE,,2026-02-14T20:37:00
TXN-0000000042,ACC-000000024,CREDIT,2539.18,EUR,MOBILE,,2026-06-21T03:33:00
TXN-0000000043,ACC-000000020,DEBIT,1869.8,EUR,MOBILE,,2026-05-09T11:33:00
TXN-0000000044,ACC-000000037,CREDIT,3193.53,EUR,MOBILE,,2026-02-14T08:08:00
TXN-0000000045,ACC-000000081,DEBIT,1007.63,EUR,ONLINE,5812,2026-02-04T18:09:00
TXN-0000000046,ACC-000000022,DEBIT,1212.25,EUR,BRANCH,,2026-02-11T01:52:00
TXN-0000000047,ACC-000000004,DEBIT,1543.19,EUR,ATM,,2026-04-29T20:13:00
TXN-0000000048,ACC-000000099,DEBIT,65.42,EUR,ONLINE,5651,2026-02-16T09:41:00
TXN-0000000049,ACC-000000039,DEBIT,1371.56,EUR,ATM,,2026-04-20T14:04:00
TXN-0000000050,ACC-000000089,DEBIT,971.08,EUR,ONLINE,5812,2026-04-09T19:09:00
TXN-0000000051,ACC-000000041,CREDIT,4940.72,EUR,MOBILE,,2026-04-08T12:08:00
TXN-0000000052,ACC-000000098,DEBIT,641.64,USD,ONLINE,5732,2026-06-04T08:28:00
TXN-0000000053,ACC-000000032,DEBIT,1891.04,EUR,MOBILE,,2026-01-29T13:15:00
TXN-0000000054,ACC-000000021,CREDIT,3619.59,EUR,ATM,,2026-05-18T05:31:00
TXN-0000000055,ACC-000000066,DEBIT,997.25,EUR,ATM,,2026-06-12T12:32:00
TXN-0000000056,ACC-000000059,CREDIT,1796.83,EUR,MOBILE,,2026-06-23T09:31:00
TXN-0000000057,ACC-000000077,CREDIT,2379.4,EUR,BRANCH,,2026-02-18T00:54:00
TXN-0000000058,ACC-000000014,DEBIT,1456.38,EUR,ATM,,2026-03-24T11:02:00
TXN-0000000059,ACC-000000052,DEBIT,728.23,EUR,ONLINE,5541,2026-06-17T12:32:00
TXN-0000000060,ACC-000000058,CREDIT,4946.0,EUR,MOBILE,,2026-01-12T19:07:00
TXN-0000000061,ACC-000000017,CREDIT,3984.74,EUR,MOBILE,,2026-04-10T17:23:00
TXN-0000000062,ACC-000000097,DEBIT,805.77,EUR,ONLINE,5411,2026-06-24T01:08:00
TXN-0000000063,ACC-000000092,DEBIT,916.69,USD,ONLINE,6011,2026-02-24T04:20:00
TXN-0000000064,ACC-000000079,DEBIT,1234.92,EUR,MOBILE,,2026-04-20T18:21:00
TXN-0000000065,ACC-000000065,CREDIT,3558.26,EUR,ONLINE,5541,2026-03-06T00:23:00
TXN-0000000066,ACC-000000043,DEBIT,1169.49,EUR,POS,5651,2026-01-10T20:01:00
TXN-0000000067,ACC-000000077,DEBIT,1566.89,EUR,POS,6011,2026-02-08T07:46:00
TXN-0000000068,ACC-000000007,DEBIT,1259.91,EUR,MOBILE,,2026-01-28T12:09:00
TXN-0000000069,ACC-000000088,DEBIT,1402.54,EUR,ONLINE,5812,2026-07-01T14:20:00
TXN-0000000070,ACC-000000054,DEBIT,823.7,EUR,BRANCH,,2026-01-30T15:55:00
TXN-0000000071,ACC-000000095,CREDIT,2617.48,USD,BRANCH,,2026-02-12T10:42:00
TXN-0000000072,ACC-000000062,DEBIT,350.5,USD,MOBILE,,2026-02-19T10:34:00
TXN-0000000073,ACC-000000046,DEBIT,1363.09,EUR,ATM,,2026-01-09T08:39:00
TXN-0000000074,ACC-000000062,DEBIT,1118.38,USD,MOBILE,,2026-05-09T09:49:00
TXN-0000000075,ACC-000000037,CREDIT,2470.57,EUR,BRANCH,,2026-03-05T11:35:00
TXN-0000000076,ACC-000000093,DEBIT,1354.86,EUR,MOBILE,,2026-03-30T12:52:00
TXN-0000000077,ACC-000000045,CREDIT,1487.74,EUR,ATM,,2026-04-23T22:05:00
TXN-0000000078,ACC-000000045,CREDIT,3749.33,EUR,BRANCH,,2026-05-12T06:52:00
TXN-0000000079,ACC-000000069,DEBIT,546.88,EUR,ONLINE,5411,2026-01-29T23:37:00
TXN-0000000080,ACC-000000031,DEBIT,1064.43,USD,BRANCH,,2026-01-23T07:03:00
TXN-0000000081,ACC-000000013,DEBIT,205.59,EUR,BRANCH,,2026-05-31T00:35:00
TXN-0000000082,ACC-000000021,DEBIT,1757.41,EUR,ATM,,2026-03-05T20:12:00
TXN-0000000083,ACC-000000097,CREDIT,3247.19,EUR,MOBILE,,2026-06-13T20:36:00
TXN-0000000084,ACC-000000030,DEBIT,1873.66,USD,BRANCH,,2026-05-22T13:56:00
TXN-0000000085,ACC-000000023,CREDIT,4189.21,EUR,MOBILE,,2026-03-01T05:59:00
TXN-0000000086,ACC-000000096,CREDIT,4389.88,EUR,ATM,,2026-07-03T09:36:00
TXN-0000000087,ACC-000000078,DEBIT,572.7,EUR,POS,5651,2026-02-16T16:31:00
TXN-0000000088,ACC-000000018,CREDIT,1004.42,EUR,ONLINE,5411,2026-04-12T05:46:00
TXN-0000000089,ACC-000000059,DEBIT,33.1,EUR,BRANCH,,2026-04-10T09:36:00
TXN-0000000090,ACC-000000087,CREDIT,4287.93,USD,MOBILE,,2026-03-24T13:32:00
TXN-0000000091,ACC-000000042,DEBIT,373.64,EUR,BRANCH,,2026-05-31T15:20:00
TXN-0000000092,ACC-000000032,DEBIT,896.24,EUR,MOBILE,,2026-04-28T10:19:00
TXN-0000000093,ACC-000000075,CREDIT,3285.73,EUR,MOBILE,,2026-01-09T07:03:00
TXN-0000000094,ACC-000000086,DEBIT,813.81,EUR,MOBILE,,2026-02-27T22:49:00
TXN-0000000095,ACC-000000040,DEBIT,1881.57,EUR,ONLINE,5541,2026-01-29T07:14:00
TXN-0000000096,ACC-000000018,DEBIT,1977.73,EUR,ONLINE,5541,2026-03-21T22:35:00
TXN-0000000097,ACC-000000061,CREDIT,4136.74,EUR,ATM,,2026-05-03T21:48:00
TXN-0000000098,ACC-000000077,CREDIT,2261.4,EUR,MOBILE,,2026-01-06T11:04:00
TXN-0000000099,ACC-000000073,DEBIT,1806.26,USD,ATM,,2026-05-15T18:34:00
TXN-0000000100,ACC-000000020,DEBIT,886.47,EUR,ATM,,2026-01-12T06:45:00
