holding_id,party_id,product_code,product_type,start_date,end_date,status
HLD-0000075,PTY-00000041,LOAN-PERSONAL,LOAN,2013-10-28,,ACTIVE
HLD-0000076,PTY-00000089,INS-LIFE,INSURANCE,2021-06-03,2026-07-05,MATURED
HLD-0000077,PTY-00000076,LOAN-PERSONAL,LOAN,2019-10-28,,ACTIVE
HLD-0000078,PTY-00000017,LOAN-PERSONAL,LOAN,2013-07-31,,ACTIVE
HLD-0000079,PTY-00000051,INS-LIFE,INSURANCE,2012-12-01,,ACTIVE
HLD-0000080,PTY-00000041,INS-LIFE,INSURANCE,2013-09-29,,ACTIVE
HLD-0000081,PTY-00000014,DEP-TERM-12M,DEPOSIT,2024-09-06,,ACTIVE
HLD-0000082,PTY-00000031,CARD-PLATINUM,CARD,2022-08-30,2026-07-05,CANCELLED
HLD-0000083,PTY-00000012,CARD-PLATINUM,CARD,2020-06-24,,ACTIVE
HLD-0000084,PTY-00000027,CARD-GOLD,CARD,2018-07-26,,ACTIVE
HLD-0000085,PTY-00000033,MORT-VAR-20Y,LOAN,2025-05-07,,ACTIVE
HLD-0000086,PTY-00000050,DEP-TERM-12M,DEPOSIT,2022-09-12,,ACTIVE
HLD-0000087,PTY-00000053,DEP-TERM-12M,DEPOSIT,2018-07-20,2024-10-02,MATURED
HLD-0000088,PTY-00000049,MORT-VAR-20Y,LOAN,2013-06-18,2020-11-04,MATURED
HLD-0000089,PTY-00000098,CARD-GOLD,CARD,2024-10-10,,ACTIVE
HLD-0000090,PTY-00000005,CARD-CLASSIC,CARD,2020-07-27,,ACTIVE
HLD-0000091,PTY-00000014,MORT-VAR-20Y,LOAN,2018-01-03,,ACTIVE
HLD-0000092,PTY-00000021,MORT-VAR-20Y,LOAN,2024-05-04,,ACTIVE
HLD-0000093,PTY-00000044,INS-LIFE,INSURANCE,2015-08-08,2023-08-01,CANCELLED
HLD-0000094,PTY-00000004,DEP-SAVINGS,DEPOSIT,2022-09-23,2026-07-05,CANCELLED
HLD-0000095,PTY-00000056,LOAN-PERSONAL,LOAN,2019-01-01,,ACTIVE
HLD-0000096,PTY-00000027,CARD-GOLD,CARD,2013-12-31,,ACTIVE
HLD-0000097,PTY-00000093,INS-HOME,INSURANCE,2020-02-11,,ACTIVE
HLD-0000098,PTY-00000039,CARD-GOLD,CARD,2017-08-13,,ACTIVE
HLD-0000099,PTY-00000074,INS-HOME,INSURANCE,2022-12-25,2023-09-04,MATURED
HLD-0000100,PTY-00000047,MORT-FIX-25Y,LOAN,2019-10-28,,ACTIVE
