ticket_id,party_id,channel,category,severity,status,opened_ts,resolved_ts,csat_score
TCK-0000033,PTY-00000035,EMAIL,SERVICE_REQUEST,HIGH,RESOLVED,2026-05-28T21:59:00,2026-06-02T21:59:00,5
TCK-0000034,PTY-00000041,CHAT,FRAUD_DISPUTE,LOW,RESOLVED,2026-03-21T18:09:00,2026-04-03T18:09:00,5
TCK-0000035,PTY-00000073,CHAT,SERVICE_REQUEST,CRITICAL,RESOLVED,2025-12-18T21:57:00,2025-12-27T21:57:00,4
TCK-0000036,PTY-00000093,PHONE,COMPLAINT,MEDIUM,RESOLVED,2026-01-09T01:06:00,2026-01-16T01:06:00,3
TCK-0000037,PTY-00000077,EMAIL,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-01-19T00:40:00,2026-01-24T00:40:00,5
TCK-0000038,PTY-00000049,CHAT,COMPLAINT,MEDIUM,RESOLVED,2025-07-22T18:42:00,2025-07-29T18:42:00,2
TCK-0000039,PTY-00000011,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2025-12-23T22:50:00,2026-01-03T22:50:00,3
TCK-0000040,PTY-00000040,EMAIL,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-02-17T03:08:00,2026-02-19T03:08:00,3
TCK-0000041,PTY-00000004,CHAT,SERVICE_REQUEST,MEDIUM,RESOLVED,2025-09-25T02:38:00,2025-10-05T02:38:00,5
TCK-0000042,PTY-00000100,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2025-09-22T07:36:00,2025-10-01T07:36:00,3
TCK-0000043,PTY-00000064,CHAT,SERVICE_REQUEST,HIGH,RESOLVED,2026-04-11T13:17:00,2026-04-18T13:17:00,4
TCK-0000044,PTY-00000093,EMAIL,FRAUD_DISPUTE,LOW,CLOSED,2025-09-04T19:12:00,2025-09-12T19:12:00,3
TCK-0000045,PTY-00000080,CHAT,FRAUD_DISPUTE,LOW,RESOLVED,2026-01-18T14:21:00,2026-01-25T14:21:00,5
TCK-0000046,PTY-00000042,EMAIL,SERVICE_REQUEST,MEDIUM,CLOSED,2025-07-15T06:30:00,2025-07-21T06:30:00,3
TCK-0000047,PTY-00000082,CHAT,SERVICE_REQUEST,HIGH,RESOLVED,2025-09-14T07:20:00,2025-09-21T07:20:00,4
TCK-0000048,PTY-00000026,BRANCH,SERVICE_REQUEST,MEDIUM,CLOSED,2025-09-29T05:43:00,2025-10-12T05:43:00,4
TCK-0000049,PTY-00000057,EMAIL,SERVICE_REQUEST,MEDIUM,CLOSED,2025-07-16T02:52:00,2025-07-30T02:52:00,5
TCK-0000050,PTY-00000031,EMAIL,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-04-18T22:27:00,2026-05-01T22:27:00,4
TCK-0000051,PTY-00000069,EMAIL,COMPLAINT,MEDIUM,CLOSED,2025-07-16T13:34:00,2025-07-17T13:34:00,5
TCK-0000052,PTY-00000082,CHAT,SERVICE_REQUEST,MEDIUM,IN_PROGRESS,2026-05-11T07:42:00,,
TCK-0000053,PTY-00000073,BRANCH,SERVICE_REQUEST,HIGH,OPEN,2025-07-24T20:25:00,,
TCK-0000054,PTY-00000014,EMAIL,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-02-23T07:32:00,2026-03-07T07:32:00,4
TCK-0000055,PTY-00000051,BRANCH,SERVICE_REQUEST,LOW,RESOLVED,2025-07-23T18:44:00,2025-08-01T18:44:00,3
TCK-0000056,PTY-00000011,PHONE,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-04-24T11:19:00,2026-04-30T11:19:00,4
TCK-0000057,PTY-00000057,CHAT,SERVICE_REQUEST,LOW,CLOSED,2025-11-16T10:04:00,2025-11-21T10:04:00,1
TCK-0000058,PTY-00000014,PHONE,SERVICE_REQUEST,CRITICAL,CLOSED,2026-04-12T23:15:00,2026-04-21T23:15:00,3
TCK-0000059,PTY-00000030,EMAIL,COMPLAINT,HIGH,CLOSED,2025-08-17T05:11:00,2025-08-28T05:11:00,5
TCK-0000060,PTY-00000058,CHAT,COMPLAINT,LOW,CLOSED,2025-12-18T00:45:00,2025-12-22T00:45:00,3
TCK-0000061,PTY-00000014,PHONE,COMPLAINT,MEDIUM,CLOSED,2025-10-04T05:23:00,2025-10-10T05:23:00,3
TCK-0000062,PTY-00000082,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2025-12-19T19:25:00,2025-12-29T19:25:00,3
TCK-0000063,PTY-00000087,EMAIL,SERVICE_REQUEST,LOW,CLOSED,2026-02-03T19:37:00,2026-02-05T19:37:00,5
TCK-0000064,PTY-00000048,EMAIL,SERVICE_REQUEST,MEDIUM,CLOSED,2025-10-17T12:26:00,2025-10-27T12:26:00,3
TCK-0000065,PTY-00000089,EMAIL,SERVICE_REQUEST,LOW,IN_PROGRESS,2026-04-08T17:10:00,,
TCK-0000066,PTY-00000058,EMAIL,SERVICE_REQUEST,MEDIUM,CLOSED,2026-01-03T00:31:00,2026-01-06T00:31:00,3
TCK-0000067,PTY-00000053,PHONE,SERVICE_REQUEST,HIGH,CLOSED,2025-12-05T22:53:00,2025-12-13T22:53:00,4
TCK-0000068,PTY-00000038,EMAIL,COMPLAINT,MEDIUM,RESOLVED,2026-03-12T17:18:00,2026-03-15T17:18:00,5
TCK-0000069,PTY-00000066,EMAIL,COMPLAINT,LOW,RESOLVED,2026-05-08T08:49:00,2026-05-17T08:49:00,5
TCK-0000070,PTY-00000093,CHAT,SERVICE_REQUEST,CRITICAL,RESOLVED,2026-03-16T13:06:00,2026-03-28T13:06:00,5
TCK-0000071,PTY-00000058,PHONE,COMPLAINT,MEDIUM,RESOLVED,2026-05-22T14:55:00,2026-05-24T14:55:00,5
TCK-0000072,PTY-00000045,PHONE,SERVICE_REQUEST,LOW,IN_PROGRESS,2025-08-27T20:27:00,,
TCK-0000073,PTY-00000027,PHONE,SERVICE_REQUEST,LOW,IN_PROGRESS,2025-09-17T11:34:00,,
TCK-0000074,PTY-00000091,CHAT,SERVICE_REQUEST,CRITICAL,RESOLVED,2025-09-15T08:54:00,2025-09-24T08:54:00,5
TCK-0000075,PTY-00000053,CHAT,SERVICE_REQUEST,LOW,IN_PROGRESS,2026-02-14T20:08:00,,
TCK-0000076,PTY-00000042,PHONE,COMPLAINT,MEDIUM,IN_PROGRESS,2025-07-24T12:31:00,,
TCK-0000077,PTY-00000049,CHAT,COMPLAINT,MEDIUM,RESOLVED,2025-08-15T02:25:00,2025-08-24T02:25:00,5
TCK-0000078,PTY-00000063,CHAT,COMPLAINT,HIGH,RESOLVED,2026-07-04T23:05:00,2026-07-05T00:00:00,5
TCK-0000079,PTY-00000069,PHONE,SERVICE_REQUEST,LOW,RESOLVED,2025-11-28T06:31:00,2025-12-03T06:31:00,4
TCK-0000080,PTY-00000063,CHAT,SERVICE_REQUEST,HIGH,CLOSED,2025-07-21T01:02:00,2025-07-23T01:02:00,5
TCK-0000081,PTY-00000021,CHAT,SERVICE_REQUEST,HIGH,RESOLVED,2026-07-05T13:12:00,2026-07-05T00:00:00,5
TCK-0000082,PTY-00000036,CHAT,SERVICE_REQUEST,MEDIUM,RESOLVED,2026-01-02T08:05:00,2026-01-08T08:05:00,5
TCK-0000083,PTY-00000093,PHONE,SERVICE_REQUEST,LOW,CLOSED,2026-03-08T13:41:00,2026-03-10T13:41:00,5
TCK-0000084,PTY-00000029,PHONE,COMPLAINT,MEDIUM,CLOSED,2025-11-20T00:00:00,2025-12-02T00:00:00,4
TCK-0000085,PTY-00000062,EMAIL,COMPLAINT,LOW,RESOLVED,2025-12-21T02:46:00,2026-01-03T02:46:00,3
TCK-0000086,PTY-00000100,PHONE,SERVICE_REQUEST,LOW,IN_PROGRESS,2026-04-28T20:43:00,,
TCK-0000087,PTY-00000084,BRANCH,COMPLAINT,MEDIUM,RESOLVED,2026-01-07T23:13:00,2026-01-18T23:13:00,5
TCK-0000088,PTY-00000028,EMAIL,FRAUD_DISPUTE,LOW,RESOLVED,2026-05-15T04:48:00,2026-05-17T04:48:00,4
TCK-0000089,PTY-00000018,CHAT,SERVICE_REQUEST,HIGH,RESOLVED,2025-08-09T02:15:00,2025-08-18T02:15:00,5
TCK-0000090,PTY-00000004,EMAIL,SERVICE_REQUEST,MEDIUM,IN_PROGRESS,2025-08-02T09:13:00,,
TCK-0000091,PTY-00000038,CHAT,SERVICE_REQUEST,HIGH,CLOSED,2026-03-05T15:24:00,2026-03-07T15:24:00,3
TCK-0000092,PTY-00000002,CHAT,SERVICE_REQUEST,LOW,OPEN,2026-01-24T04:24:00,,
TCK-0000093,PTY-00000088,PHONE,SERVICE_REQUEST,LOW,RESOLVED,2025-11-06T02:01:00,2025-11-16T02:01:00,2
TCK-0000094,PTY-00000051,CHAT,SERVICE_REQUEST,MEDIUM,CLOSED,2025-08-18T22:32:00,2025-08-31T22:32:00,4
TCK-0000095,PTY-00000079,BRANCH,SERVICE_REQUEST,LOW,RESOLVED,2026-05-24T09:05:00,2026-06-02T09:05:00,5
TCK-0000096,PTY-00000076,EMAIL,FRAUD_DISPUTE,LOW,CLOSED,2025-08-07T21:41:00,2025-08-09T21:41:00,4
TCK-0000097,PTY-00000032,EMAIL,COMPLAINT,MEDIUM,RESOLVED,2025-11-25T03:29:00,2025-12-05T03:29:00,5
TCK-0000098,PTY-00000016,EMAIL,SERVICE_REQUEST,HIGH,RESOLVED,2026-04-26T22:00:00,2026-04-29T22:00:00,4
TCK-0000099,PTY-00000034,CHAT,COMPLAINT,LOW,RESOLVED,2026-05-02T23:49:00,2026-05-16T23:49:00,4
TCK-0000100,PTY-00000055,EMAIL,SERVICE_REQUEST,LOW,RESOLVED,2026-06-03T08:45:00,2026-06-13T08:45:00,5
